penalty_player_id,penalty_player_name,penalty_type,penalty_yards,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,epa,wpa,posteam,game_id
00-0015668,T.Steussie,Unnecessary Roughness,15.0,1.0,10.0,26.0,1.0,415.0,-1.4301491596270353,-0.02009105682373047,CAR,2001_01_CAR_MIN
00-0006459,R.Griffith,Unnecessary Roughness,11.0,4.0,6.0,65.0,2.0,115.0,-0.21098366752266884,0.003933757543563843,CAR,2001_01_CAR_MIN
00-0008229,N.Jacquet,Unsportsmanlike Conduct,9.0,4.0,19.0,68.0,4.0,827.0,1.2445757135283202,0.05671146512031555,CAR,2001_01_CAR_MIN
00-0015754,B.Stokley,Offensive Pass Interference,10.0,3.0,5.0,62.0,2.0,409.0,-1.1711498675867915,-0.04598817229270935,BAL,2001_01_CHI_BAL
,,Face Mask,8.0,2.0,9.0,19.0,4.0,141.0,1.1973149262485094,0.00003337860107421875,GB,2001_01_DET_GB
00-0007719,B.Hopkins,Face Mask,15.0,2.0,14.0,49.0,1.0,9.0,-0.8146783942356706,-0.013714104890823364,TEN,2001_01_MIA_TEN
,,Intentional Grounding,10.0,3.0,11.0,81.0,1.0,807.0,-1.5953071287367493,-0.03483632206916809,LV,2001_01_OAK_KC
00-0002058,T. Brown,Unsportsmanlike Conduct,15.0,3.0,2.0,39.0,2.0,78.0,-1.1873308856156655,-0.036188602447509766,LV,2001_01_OAK_KC
00-0001519,T.Boselli,Unsportsmanlike Conduct,15.0,3.0,12.0,33.0,2.0,777.0,-0.3479772969149053,0.0,JAX,2001_01_PIT_JAX
00-0003597,J.Craft,Unsportsmanlike Conduct,6.0,3.0,4.0,12.0,3.0,415.0,1.328511866624467,0.0030216574668884277,PIT,2001_01_PIT_JAX
00-0017241,D.Washington,Unnecessary Roughness,15.0,1.0,10.0,75.0,3.0,170.0,1.4015541397966444,0.010423731058835983,JAX,2001_01_PIT_JAX
00-0015474,T.Spikes,Unnecessary Roughness,5.0,2.0,9.0,9.0,2.0,252.0,1.3377921616192907,0.024842381477355957,BAL,2001_02_BAL_CIN
00-0006072,M.Goff,Offensive Pass Interference,10.0,2.0,10.0,22.0,3.0,144.0,-0.9567738595651463,-0.0012685656547546387,CIN,2001_02_BAL_CIN
00-0002041,R.Brown,Face Mask,15.0,1.0,10.0,67.0,1.0,232.0,-1.6409515850245953,-0.03236982226371765,BUF,2001_02_BUF_IND
00-0019698,R.Morris,Unsportsmanlike Conduct,15.0,1.0,17.0,77.0,3.0,272.0,1.268340541049838,0.0007053138688206673,BUF,2001_02_BUF_IND
00-0002041,R.Brown,Unnecessary Roughness,15.0,3.0,8.0,61.0,4.0,719.0,-1.9664401859045029,-0.000614348566159606,BUF,2001_02_BUF_IND
00-0012637,J.Pathon,Unnecessary Roughness,15.0,3.0,1.0,54.0,4.0,603.0,-1.9169649339746684,-0.0001932382583618164,IND,2001_02_BUF_IND
00-0020434,C.Weinke,Intentional Grounding,10.0,3.0,4.0,4.0,4.0,351.0,-1.383306017504787,-0.054191574454307556,CAR,2001_02_CAR_ATL
00-0010970,R.McKinnon,Unnecessary Roughness,15.0,2.0,6.0,76.0,2.0,856.0,1.320771437836811,0.02562469244003296,DEN,2001_02_DEN_ARI
00-0002861,B.Chamberlain,Offensive Pass Interference,10.0,3.0,3.0,45.0,2.0,737.0,-1.2485469330567867,-0.05113983154296875,MIN,2001_02_MIN_CHI
00-0020284,F.Wright,Taunting,15.0,4.0,17.0,59.0,2.0,701.0,0.05504944361746311,-0.013445526361465454,MIN,2001_02_MIN_CHI
00-0001361,D.Bledsoe,Intentional Grounding,10.0,3.0,10.0,43.0,2.0,783.0,-1.8985127464402467,-0.04684370756149292,NE,2001_02_NYJ_NE
00-0002123,T.Bruschi,Unnecessary Roughness,15.0,2.0,10.0,37.0,3.0,271.0,1.5717653019819409,0.046970486640930176,NYJ,2001_02_NYJ_NE
00-0005741,R. Gannon,Intentional Grounding,10.0,2.0,5.0,49.0,2.0,900.0,-1.984868786064908,-0.08770209550857544,LV,2001_02_OAK_MIA
00-0013405,J.Randle,Face Mask,16.0,3.0,2.0,48.0,1.0,595.0,0.7603561144787818,0.031289488077163696,PHI,2001_02_PHI_SEA
00-0018228,D.Woodson,Unnecessary Roughness,12.0,1.0,10.0,43.0,1.0,12.0,2.2952620879514143,0.010188639163970947,LAC,2001_02_SD_DAL
00-0018272,A.Wright,Intentional Grounding,10.0,2.0,11.0,60.0,3.0,815.0,-1.5199028626084328,-0.046360909938812256,DAL,2001_02_SD_DAL
00-0007681,T.Holt,Offensive Pass Interference,10.0,2.0,3.0,34.0,1.0,735.0,-1.3712807164993137,-0.07214641571044922,LA,2001_02_STL_SF
00-0013422,W.Rasby,Offensive Pass Interference,10.0,3.0,3.0,56.0,2.0,120.0,-0.881440679426305,-0.03969112038612366,WAS,2001_02_WAS_GB
00-0006300,E.Grbac,Intentional Grounding,11.0,2.0,6.0,86.0,2.0,342.0,-1.4508079960942268,-0.06074295938014984,BAL,2001_03_BAL_DEN
00-0008723,D.Jones,Taunting,15.0,1.0,10.0,47.0,1.0,2.0,-0.7556942100636661,-0.032421767711639404,JAX,2001_03_CLE_JAX
00-0004077,S.Dawkins,Taunting,15.0,1.0,18.0,55.0,2.0,900.0,-0.9837535188999027,-0.031417906284332275,JAX,2001_03_CLE_JAX
00-0009842,C.Lewis,Offensive Pass Interference,10.0,1.0,10.0,61.0,1.0,158.0,-0.8168514806311578,-0.027034103870391846,PHI,2001_03_DAL_PHI
00-0005763,B.Gardner,Face Mask,15.0,3.0,7.0,55.0,4.0,524.0,2.202155331382528,0.000011664233170449734,DAL,2001_03_DAL_PHI
00-0008874,T.Jones,Face Mask,15.0,,0.0,30.0,4.0,744.0,1.579401808558032,-0.00002219344605691731,IND,2001_03_IND_NE
00-0010007,K.Lockett,Offensive Pass Interference,10.0,3.0,6.0,75.0,2.0,583.0,-1.0380590623244643,-0.06904679536819458,WAS,2001_03_KC_WAS
00-0005322,L.Fletcher,Unnecessary Roughness,15.0,2.0,7.0,61.0,1.0,265.0,1.5502540494780988,0.019588857889175415,MIA,2001_03_MIA_STL
00-0017013,B.Walker,Unnecessary Roughness,10.0,1.0,10.0,27.0,2.0,598.0,0.9762279231799766,0.04190939664840698,LA,2001_03_MIA_STL
00-0016691,K.Turley,Unnecessary Roughness,15.0,1.0,10.0,23.0,1.0,885.0,-1.5219506308203563,-0.05612027645111084,NO,2001_03_NO_NYG
00-0007468,I. Hilliard,Offensive Pass Interference,10.0,3.0,2.0,72.0,1.0,762.0,-1.7217571958899498,-0.04605954885482788,NYG,2001_03_NO_NYG
00-0010535,K.Mathis,Unnecessary Roughness,5.0,3.0,4.0,20.0,2.0,493.0,1.9131042562657967,0.033952176570892334,NYG,2001_03_NO_NYG
00-0008210,W.Jackson,Offensive Pass Interference,0.0,4.0,9.0,9.0,4.0,4.0,-2.3927024677977897,-0.0384240448474884,NO,2001_03_NO_NYG
00-0005346,L.Flowers,Unsportsmanlike Conduct,15.0,2.0,17.0,72.0,1.0,102.0,1.8540536356158555,0.045366764068603516,BUF,2001_03_PIT_BUF
,,Unsportsmanlike Conduct,15.0,1.0,10.0,55.0,1.0,82.0,0.901067845756188,0.03650325536727905,BUF,2001_03_PIT_BUF
00-0014902,J.Simmons,Unsportsmanlike Conduct,15.0,,0.0,30.0,1.0,4.0,0.9240454495884478,0.028699517250061035,BUF,2001_03_PIT_BUF
00-0019642,P.Burress,Unnecessary Roughness,15.0,1.0,5.0,5.0,2.0,313.0,-1.9582450645393692,-0.021318435668945312,PIT,2001_03_PIT_BUF
00-0005176,J.Fiala,Unsportsmanlike Conduct,15.0,,0.0,30.0,2.0,191.0,1.174499950488098,0.044342830777168274,BUF,2001_03_PIT_BUF
00-0004717,C.Eaton,Unnecessary Roughness,15.0,1.0,10.0,50.0,1.0,446.0,0.8877775256987661,0.04823392629623413,LV,2001_03_SEA_OAK
00-0016505,R.Tobeck,Unnecessary Roughness,15.0,1.0,10.0,37.0,2.0,349.0,-1.5844366746023297,-0.008389845490455627,SEA,2001_03_SEA_OAK
00-0003501,J.Cortez,Unnecessary Roughness,15.0,,0.0,30.0,4.0,586.0,1.399617898510769,0.03086964786052704,NYJ,2001_03_SF_NYJ
00-0002721,C.Carter,Offensive Pass Interference,10.0,3.0,1.0,1.0,3.0,123.0,-1.930676378426142,-0.03610152006149292,MIN,2001_03_TB_MIN
00-0018308,K.Wright,Taunting,6.0,3.0,7.0,12.0,4.0,769.0,1.598934495355934,0.06855714321136475,TB,2001_03_TB_MIN
00-0008357,M.Jenkins,Unsportsmanlike Conduct,15.0,4.0,3.0,52.0,2.0,119.0,-0.7582404179265723,-0.06799280643463135,ARI,2001_04_ARI_PHI
00-0011795,M.Muhammad,Offensive Pass Interference,10.0,3.0,16.0,68.0,1.0,506.0,-0.9543638029135764,-0.007918506860733032,CAR,2001_04_CAR_SF
00-0015668,T.Steussie,Unnecessary Roughness,15.0,1.0,10.0,23.0,4.0,167.0,-1.1278085193480365,-0.019009828567504883,CAR,2001_04_CAR_SF
00-0011276,J. Miller,Intentional Grounding,10.0,3.0,5.0,14.0,2.0,17.0,-0.5121870164261724,-0.05086022615432739,CHI,2001_04_CHI_ATL
00-0005231,B.Finneran,Offensive Pass Interference,10.0,3.0,6.0,49.0,4.0,164.0,-0.7487136607524008,-0.00002038780803559348,ATL,2001_04_CHI_ATL
00-0020493,K.Walker,Face Mask,15.0,1.0,10.0,51.0,2.0,79.0,-1.1100333260255866,-0.029675841331481934,TB,2001_04_GB_TB
00-0020490,K.Robinson,Offensive Pass Interference,10.0,1.0,10.0,18.0,1.0,423.0,-0.9760340900393203,-0.017311453819274902,SEA,2001_04_JAX_SEA
