penalty_player_id,penalty_player_name,penalty_type,penalty_yards,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,epa,wpa,posteam,game_id
,,Unsportsmanlike Conduct,15.0,,0.0,35.0,1.0,324.0,1.4545911212917417,0.035540491342544556,NYG,2024_02_NYG_WAS
00-0023459,A.Rodgers,Intentional Grounding,10.0,1.0,10.0,65.0,1.0,644.0,-1.4753023725934327,-0.043165117502212524,NYJ,2024_02_NYJ_TEN
00-0033294,C.Clark,Unnecessary Roughness,15.0,3.0,3.0,67.0,2.0,63.0,2.5973804348614067,0.0930742621421814,TEN,2024_02_NYJ_TEN
00-0036415,V.Jefferson,Offensive Pass Interference,10.0,2.0,3.0,6.0,2.0,14.0,-1.7909305380599108,-0.017048120498657227,PIT,2024_02_PIT_DEN
00-0035227,P.Locke,Unnecessary Roughness,15.0,3.0,3.0,74.0,4.0,387.0,1.7181020404677838,0.0075591206550598145,PIT,2024_02_PIT_DEN
00-0039020,A.Bradford,Unnecessary Roughness,15.0,1.0,10.0,70.0,2.0,130.0,-1.3599206905346364,-0.03857499361038208,SEA,2024_02_SEA_NE
00-0034869,S.Darnold,Intentional Grounding,17.0,2.0,6.0,66.0,3.0,865.0,-3.00452055525966,-0.06370854377746582,MIN,2024_02_SF_MIN
00-0039903,T.Arnold,Face Mask,15.0,1.0,10.0,70.0,3.0,206.0,1.3563776228111237,0.06400230526924133,TB,2024_02_TB_DET
00-0033784,E.Jackson,Face Mask,15.0,1.0,10.0,50.0,3.0,607.0,1.3311722506769001,0.0011462122201919556,DAL,2024_03_BAL_DAL
00-0032104,A.Abdullah,Offensive Pass Interference,10.0,1.0,10.0,67.0,2.0,114.0,-0.8221310393419117,-0.031013280153274536,LV,2024_03_CAR_LV
00-0038984,K.Clark,Unnecessary Roughness,10.0,4.0,9.0,68.0,2.0,434.0,0.7234053113497794,-0.015300959348678589,DET,2024_03_DET_ARI
00-0033557,J.Reeves-Maybin,Unnecessary Roughness,15.0,1.0,10.0,70.0,2.0,29.0,1.3498924110317603,0.02730923891067505,ARI,2024_03_DET_ARI
00-0033293,A.Jones,Offensive Pass Interference,10.0,3.0,4.0,30.0,3.0,139.0,-1.7374801845289767,-0.008924663066864014,MIN,2024_03_HOU_MIN
00-0036306,D.Thomas,Unnecessary Roughness,15.0,2.0,5.0,46.0,2.0,36.0,1.6514536252361722,0.0007166862487792969,BUF,2024_03_JAX_BUF
00-0036888,D.Hamlin,Unnecessary Roughness,7.0,1.0,10.0,37.0,3.0,701.0,2.1688409088528715,0.0021202920470386744,JAX,2024_03_JAX_BUF
00-0037661,J.Ingram,Unnecessary Roughness,15.0,4.0,3.0,66.0,4.0,722.0,-1.01175428298302,0.00016897579189389944,BUF,2024_03_JAX_BUF
00-0034790,D.James,Face Mask,15.0,2.0,14.0,64.0,3.0,759.0,2.451188314007595,0.11383399367332458,PIT,2024_03_LAC_PIT
00-0034790,D.James,Unnecessary Roughness,15.0,3.0,4.0,79.0,3.0,268.0,3.0683797681704164,0.07761996984481812,PIT,2024_03_LAC_PIT
00-0039169,D.Witherspoon,Unnecessary Roughness,15.0,1.0,16.0,75.0,1.0,367.0,1.8909907317720354,0.03375113010406494,MIA,2024_03_MIA_SEA
00-0035640,D.Metcalf,Offensive Pass Interference,4.0,2.0,11.0,91.0,1.0,173.0,-0.527166940504685,-0.0087357759475708,SEA,2024_03_MIA_SEA
00-0033549,D.Riley,Unnecessary Roughness,15.0,4.0,24.0,62.0,2.0,166.0,-0.4338973418343812,-0.009334579110145569,MIA,2024_03_MIA_SEA
00-0030565,G.Smith,Intentional Grounding,11.0,2.0,11.0,40.0,3.0,54.0,-1.4973927654791623,-0.010690093040466309,SEA,2024_03_MIA_SEA
00-0037353,K.Kohou,Face Mask,15.0,2.0,7.0,95.0,4.0,600.0,1.5824312665499747,0.019330203533172607,SEA,2024_03_MIA_SEA
00-0035240,J.Tavai,Unnecessary Roughness,15.0,1.0,10.0,46.0,1.0,382.0,0.9017341947183013,0.047808945178985596,NYJ,2024_03_NE_NYJ
00-0036875,R.Stevenson,Face Mask,15.0,2.0,7.0,73.0,2.0,477.0,-0.10361000755801797,-0.0028161853551864624,NE,2024_03_NE_NYJ
00-0036500,J.Sherwood,Unnecessary Roughness,15.0,2.0,9.0,75.0,2.0,462.0,1.3739475007168949,0.017852678894996643,NE,2024_03_NE_NYJ
