penalty_player_id,penalty_player_name,penalty_type,penalty_yards,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,epa,wpa,posteam,game_id
00-0003292,K.Collins,Intentional Grounding,8.0,3.0,16.0,85.0,3.0,631.0,0.0,-0.021055400371551514,NYG,2000_01_ARI_NYG
00-0005361,W.Floyd,Unnecessary Roughness,15.0,2.0,2.0,2.0,2.0,293.0,-0.0,-0.041643381118774414,CAR,2000_01_CAR_WAS
00-0005074,D.Farr,Unnecessary Roughness,15.0,3.0,16.0,98.0,3.0,408.0,-0.0,0.0877838134765625,DEN,2000_01_DEN_STL
00-0006423,B.Griese,Illegal Forward Pass,5.0,3.0,9.0,15.0,4.0,465.0,-0.0,-0.04675154387950897,DEN,2000_01_DEN_STL
00-0012808,D.Perry,Unnecessary Roughness,15.0,4.0,1.0,76.0,4.0,741.0,0.7727965754456818,0.01719444990158081,DET,2000_01_DET_NO
00-0010346,P.Manning,Intentional Grounding,13.0,1.0,10.0,43.0,2.0,18.0,-0.0,-0.036588311195373535,IND,2000_01_IND_KC
00-0018468,S.Zahursky,Unnecessary Roughness,15.0,2.0,6.0,50.0,1.0,391.0,0.0,-0.023797571659088135,CLE,2000_01_JAX_CLE
00-0016193,V.Testaverde,Intentional Grounding,10.0,3.0,7.0,60.0,2.0,268.0,-0.0,-0.0616612434387207,NYJ,2000_01_NYJ_GB
00-0016193,V.Testaverde,Intentional Grounding,10.0,3.0,20.0,20.0,3.0,435.0,-0.0,-0.05169162154197693,NYJ,2000_01_NYJ_GB
00-0017792,E.Williams,Unnecessary Roughness,15.0,2.0,10.0,31.0,4.0,550.0,0.0,-7.266200555022806e-6,DAL,2000_01_PHI_DAL
00-0017792,E.Williams,Unsportsmanlike Conduct,7.0,3.0,7.0,72.0,4.0,175.0,-1.0402454341528937,0.0000316821169690229,DAL,2000_01_PHI_DAL
00-0009849,D.Lewis,Face Mask,15.0,3.0,3.0,61.0,2.0,881.0,1.6369407819584012,0.03540390729904175,LV,2000_01_SD_OAK
00-0008874,T.Jones,Unnecessary Roughness,13.0,2.0,6.0,52.0,2.0,900.0,-0.0,0.11179128289222717,TB,2000_01_TB_NE
00-0012908,P.Phenix,Unnecessary Roughness,15.0,,0.0,30.0,2.0,11.0,0.06987414680770598,0.03158450126647949,BUF,2000_01_TEN_BUF
