penalty_player_id,penalty_player_name,penalty_type,penalty_yards,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,epa,wpa,posteam,game_id,week
00-0024223,D.Whitner,Unnecessary Roughness,15.0,2.0,3.0,70.0,3.0,101.0,1.636170381680131,0.06093291938304901,NE,2009_01_BUF_NE,1
00-0012478,T.Owens,Offensive Pass Interference,10.0,3.0,5.0,57.0,4.0,650.0,-1.20517442189157,-0.05282312631607056,BUF,2009_01_BUF_NE,1
00-0021228,A.Brown,Unnecessary Roughness,15.0,1.0,1.0,1.0,2.0,280.0,0.7123895871045534,0.022429634831374945,GB,2009_01_CHI_GB,1
00-0000045,F.Adams,Unnecessary Roughness,15.0,2.0,10.0,55.0,2.0,206.0,-0.5627373405732214,-0.02740350365638733,DAL,2009_01_DAL_TB,1
00-0020397,C.Ochocinco,Offensive Pass Interference,7.0,1.0,10.0,85.0,3.0,9.0,-0.9368921022396535,-0.03569039702415466,CIN,2009_01_DEN_CIN,1
00-0027009,L.Delmas,Unsportsmanlike Conduct,15.0,3.0,1.0,1.0,2.0,229.0,1.4565298638190143,0.02028936803818071,NO,2009_01_DET_NO,1
,,Unsportsmanlike Conduct,15.0,1.0,15.0,20.0,2.0,39.0,-6.32354148948798,-0.06523050367832184,DET,2009_01_DET_NO,1
00-0024421,A.Bethea,Face Mask,7.0,2.0,5.0,16.0,2.0,622.0,0.9286443900782615,0.025500595569610596,JAX,2009_01_JAX_IND,1
00-0027077,B.Hartline,Offensive Pass Interference,10.0,2.0,9.0,37.0,3.0,137.0,-1.154561607632786,-0.024348855018615723,MIA,2009_01_MIA_ATL,1
00-0024219,D.Ferguson,Unnecessary Roughness,15.0,4.0,5.0,6.0,1.0,12.0,0.1281463862950485,0.018390148878097534,NYJ,2009_01_NYJ_HOU,1
00-0022166,C.Thompson,Unnecessary Roughness,10.0,,0.0,30.0,2.0,201.0,-0.46195763582363725,-0.010505810379981995,HOU,2009_01_NYJ_HOU,1
00-0019986,J.Parker,Face Mask,15.0,3.0,9.0,52.0,1.0,786.0,2.2140208708588034,0.1015317440032959,CAR,2009_01_PHI_CAR,1
00-0026189,D.Jackson,Unsportsmanlike Conduct,15.0,1.0,9.0,9.0,2.0,601.0,2.011066856677644,-0.005863589644682254,PHI,2009_01_PHI_CAR,1
00-0022942,P.Rivers,Taunting,15.0,3.0,10.0,67.0,3.0,294.0,-1.5202407813630998,-0.033616721630096436,LAC,2009_01_SD_OAK,1
00-0027089,L.Murphy,Offensive Pass Interference,10.0,1.0,10.0,60.0,4.0,360.0,-0.8466328501235694,-0.03830641508102417,LV,2009_01_SD_OAK,1
00-0022921,L.Fitzgerald,Offensive Pass Interference,10.0,2.0,9.0,70.0,1.0,583.0,-1.128651306964457,-0.01626896858215332,ARI,2009_01_SF_ARI,1
00-0020505,A.Wilson,Unnecessary Roughness,15.0,1.0,10.0,39.0,1.0,175.0,1.149471401819028,0.005395054817199707,SF,2009_01_SF_ARI,1
,,Unsportsmanlike Conduct,11.0,2.0,10.0,22.0,2.0,11.0,0.6764648995012976,0.019053608179092407,ARI,2009_01_SF_ARI,1
00-0023516,R.Incognito,Unnecessary Roughness,15.0,2.0,9.0,56.0,1.0,569.0,-1.954345469828695,-0.06484431028366089,LA,2009_01_STL_SEA,1
00-0009978,L.Little,Unnecessary Roughness,15.0,2.0,4.0,55.0,2.0,584.0,1.8846202157437801,0.0706855058670044,SEA,2009_01_STL_SEA,1
